# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: D:\ECE385\Lab4\adderpin.csv
# Generated on: Sun Feb 03 14:54:17 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clk,Input,PIN_Y2,2,B2_N0,PIN_J1,,,,,,
Sum[15],Output,PIN_G15,7,B7_N2,PIN_AE2,,,,,,
Sum[14],Output,PIN_F15,7,B7_N2,PIN_AB1,,,,,,
Sum[13],Output,PIN_H17,7,B7_N2,PIN_AF6,,,,,,
Sum[12],Output,PIN_J16,7,B7_N2,PIN_AH10,,,,,,
Sum[11],Output,PIN_H16,7,B7_N2,PIN_V6,,,,,,
Sum[10],Output,PIN_J15,7,B7_N2,PIN_AF13,,,,,,
Sum[9],Output,PIN_G17,7,B7_N1,PIN_AD10,,,,,,
Sum[8],Output,PIN_J17,7,B7_N2,PIN_AH7,,,,,,
Sum[7],Output,PIN_H19,7,B7_N2,PIN_AB8,,,,,,
Sum[6],Output,PIN_J19,7,B7_N2,PIN_AE11,,,,,,
Sum[5],Output,PIN_E18,7,B7_N1,PIN_AC10,,,,,,
Sum[4],Output,PIN_F18,7,B7_N1,PIN_AB10,,,,,,
Sum[3],Output,PIN_F21,7,B7_N0,PIN_AF11,,,,,,
Sum[2],Output,PIN_E19,7,B7_N0,PIN_AA4,,,,,,
Sum[1],Output,PIN_F19,7,B7_N0,PIN_AA3,,,,,,
Sum[0],Output,PIN_G19,7,B7_N2,PIN_V7,,,,,,
SW[15],Input,PIN_AA22,5,B5_N2,PIN_AH11,,,,,,
SW[14],Input,PIN_AA23,5,B5_N2,PIN_AB11,,,,,,
SW[13],Input,PIN_AA24,5,B5_N2,PIN_Y4,,,,,,
SW[12],Input,PIN_AB23,5,B5_N2,PIN_AC2,,,,,,
SW[11],Input,PIN_AB24,5,B5_N2,PIN_T8,,,,,,
SW[10],Input,PIN_AC24,5,B5_N2,PIN_AF9,,,,,,
SW[9],Input,PIN_AB25,5,B5_N1,PIN_U5,,,,,,
SW[8],Input,PIN_AC25,5,B5_N2,PIN_AC3,,,,,,
SW[7],Input,PIN_AB26,5,B5_N1,PIN_AG8,,,,,,
SW[6],Input,PIN_AD26,5,B5_N2,PIN_AF7,,,,,,
SW[5],Input,PIN_AC26,5,B5_N2,PIN_AA10,,,,,,
